"Age","BusinessTravel","DailyRate","DistanceFromHome","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","Attrition"
34,"Travel_Frequently",303,2,3,"Female",75,3,1,3,"Married",2231,11314,6,"No",18,3,4,1,6,3,3,4,3,1,2,"No"
34,"Travel_Rarely",1303,2,4,"Male",62,2,1,3,"Divorced",2768,8416,3,"No",12,3,3,1,14,3,3,7,3,5,7,"No"
47,"Non-Travel",543,2,3,"Male",87,3,2,2,"Married",4978,3536,7,"No",11,3,4,1,4,3,1,1,0,0,0,"No"
29,"Travel_Rarely",468,28,4,"Female",73,2,1,1,"Single",3785,8489,1,"No",14,3,2,0,5,3,1,5,4,0,4,"No"
35,"Travel_Rarely",607,9,4,"Female",66,2,3,3,"Married",10685,23457,1,"Yes",20,4,2,1,17,2,3,17,14,5,15,"No"
35,"Travel_Rarely",1232,16,3,"Male",96,3,3,2,"Married",8020,5100,0,"No",15,3,3,2,12,3,2,11,9,6,9,"No"
41,"Travel_Rarely",642,1,4,"Male",76,3,1,4,"Married",2782,21412,3,"No",22,4,1,1,12,3,3,5,3,1,0,"No"
34,"Non-Travel",999,26,1,"Female",92,2,1,3,"Divorced",2029,15891,1,"No",20,4,3,3,5,2,3,5,4,0,0,"No"
34,"Travel_Rarely",1303,2,4,"Male",62,2,1,3,"Divorced",2768,8416,3,"No",12,3,3,1,14,3,3,7,3,5,7,"No"
45,"Travel_Rarely",1268,4,3,"Female",30,3,2,1,"Divorced",5006,6319,4,"Yes",11,3,1,1,9,3,4,5,4,0,3,"No"
35,"Non-Travel",1212,8,3,"Female",78,2,3,4,"Married",10377,13755,4,"Yes",11,3,2,1,16,6,2,13,2,4,12,"No"
56,"Travel_Rarely",713,8,3,"Female",67,3,1,1,"Divorced",4257,13939,4,"Yes",18,3,3,1,19,3,3,2,2,2,2,"No"
40,"Travel_Rarely",448,16,3,"Female",84,3,3,4,"Single",7945,19948,6,"Yes",15,3,4,0,18,2,2,4,2,3,3,"No"
41,"Travel_Rarely",314,1,4,"Male",59,2,5,3,"Married",19189,19562,1,"No",12,3,2,1,22,3,3,22,7,2,10,"No"
25,"Travel_Rarely",309,2,3,"Female",82,3,1,2,"Married",2187,19655,4,"No",14,3,3,0,6,3,3,2,0,1,2,"No"
26,"Travel_Rarely",482,1,2,"Female",90,2,1,3,"Married",2933,14908,1,"Yes",13,3,3,1,1,3,2,1,0,1,0,"No"
44,"Travel_Rarely",921,2,3,"Female",96,4,3,4,"Married",7879,14810,1,"Yes",19,3,2,1,9,2,3,8,7,6,7,"No"
41,"Travel_Rarely",1276,2,2,"Female",91,3,4,1,"Married",16595,5626,7,"No",16,3,2,1,22,2,3,18,16,11,8,"No"
30,"Travel_Rarely",1092,10,1,"Female",64,3,3,3,"Single",9667,2739,9,"No",14,3,2,0,9,3,3,7,7,0,2,"No"
36,"Travel_Rarely",311,7,1,"Male",77,3,1,2,"Single",2013,10950,2,"No",11,3,3,0,15,4,3,4,3,1,3,"No"
29,"Travel_Rarely",1329,7,3,"Male",82,3,2,4,"Divorced",6623,4204,1,"Yes",11,3,2,2,6,2,3,6,0,1,0,"No"
50,"Travel_Frequently",1115,1,1,"Female",73,3,5,2,"Married",18172,9755,3,"Yes",19,3,1,0,28,1,2,8,3,0,7,"No"
51,"Travel_Rarely",1318,26,1,"Female",66,3,4,3,"Married",16307,5594,2,"No",14,3,3,1,29,2,2,20,6,4,17,"No"
53,"Travel_Rarely",238,1,4,"Female",34,3,2,1,"Single",8381,7507,7,"No",20,4,4,0,18,2,4,14,7,8,10,"No"
34,"Travel_Rarely",479,7,1,"Male",35,3,1,4,"Single",2972,22061,1,"No",13,3,3,0,1,4,1,1,0,0,0,"No"
27,"Travel_Rarely",1220,5,3,"Female",85,3,1,2,"Single",2478,20938,1,"Yes",12,3,2,0,4,2,2,4,3,1,2,"No"
50,"Travel_Rarely",1099,29,2,"Male",88,2,4,3,"Married",17046,9314,0,"No",15,3,2,1,28,2,3,27,10,15,7,"No"
29,"Travel_Frequently",806,1,2,"Male",76,1,1,4,"Divorced",2720,18959,1,"No",18,3,4,1,10,5,3,10,7,2,8,"No"
25,"Travel_Rarely",266,1,4,"Female",40,3,1,2,"Single",2096,18830,1,"No",18,3,4,0,2,3,2,2,2,2,1,"No"
29,"Travel_Frequently",574,20,4,"Male",40,3,1,4,"Married",3812,7003,1,"No",13,3,2,0,11,3,4,11,8,3,10,"No"
36,"Travel_Rarely",1157,2,3,"Male",70,3,1,4,"Single",2644,17001,3,"Yes",21,4,4,0,7,3,2,3,2,1,2,"No"
28,"Travel_Rarely",995,9,3,"Female",77,3,1,3,"Divorced",2377,9834,5,"No",18,3,2,1,6,2,3,2,2,2,2,"No"
35,"Travel_Rarely",1142,23,3,"Female",30,3,1,1,"Married",4014,16002,3,"Yes",15,3,3,1,4,3,3,2,2,2,2,"No"
30,"Travel_Rarely",852,10,3,"Male",72,2,2,3,"Married",6578,2706,1,"No",18,3,1,1,10,3,3,10,3,1,4,"No"
49,"Travel_Rarely",1418,1,3,"Female",36,3,1,1,"Married",3580,10554,2,"No",16,3,2,1,7,2,3,4,2,0,2,"No"
27,"Travel_Rarely",1103,14,1,"Male",42,3,1,1,"Married",2235,14377,1,"Yes",14,3,4,2,9,3,2,9,7,6,8,"No"
31,"Non-Travel",697,10,3,"Female",40,3,3,3,"Married",11031,26862,4,"No",20,4,3,1,13,2,4,11,7,4,8,"No"
54,"Travel_Rarely",821,5,1,"Male",86,3,5,1,"Married",19406,8509,4,"No",11,3,3,1,24,4,2,4,2,1,2,"No"
27,"Travel_Frequently",793,2,4,"Male",43,1,2,4,"Single",5071,20392,3,"No",20,4,2,0,8,3,3,6,2,0,0,"No"
24,"Travel_Rarely",1127,18,2,"Male",52,3,1,3,"Married",2774,13257,0,"No",12,3,3,1,6,2,3,5,3,1,2,"No"
37,"Non-Travel",1040,2,3,"Male",100,2,2,4,"Divorced",5163,15850,5,"No",14,3,4,1,17,2,4,1,0,0,0,"No"
50,"Travel_Rarely",316,8,4,"Male",54,3,1,2,"Married",3875,9983,7,"No",15,3,4,1,4,2,3,2,2,2,2,"No"
54,"Travel_Rarely",548,8,3,"Female",42,3,2,3,"Single",3780,23428,7,"No",11,3,3,0,19,3,3,1,0,0,0,"No"
36,"Non-Travel",217,18,1,"Male",78,3,2,4,"Single",7779,23238,2,"No",20,4,1,0,18,0,3,11,9,0,9,"No"
50,"Travel_Rarely",316,8,4,"Male",54,3,1,2,"Married",3875,9983,7,"No",15,3,4,1,4,2,3,2,2,2,2,"No"
24,"Travel_Frequently",897,10,1,"Male",59,3,1,4,"Married",2145,2097,0,"No",14,3,4,1,3,2,3,2,2,2,1,"No"
51,"Travel_Frequently",237,9,4,"Male",83,3,5,2,"Divorced",19847,19196,4,"Yes",24,4,1,1,31,5,2,29,10,11,10,"No"
30,"Travel_Rarely",921,1,4,"Male",38,1,1,3,"Married",3833,24375,3,"No",21,4,3,2,7,2,3,2,2,0,2,"No"
31,"Travel_Rarely",1274,9,3,"Male",33,3,3,2,"Divorced",10648,14394,1,"No",25,4,4,1,13,6,4,13,8,0,8,"No"
27,"Travel_Rarely",975,7,4,"Female",55,2,2,1,"Single",6811,23398,8,"No",19,3,1,0,9,2,1,7,6,0,7,"No"
28,"Travel_Rarely",866,5,4,"Male",84,3,2,1,"Single",8463,23490,0,"No",18,3,4,0,6,4,3,5,4,1,3,"No"
43,"Travel_Rarely",574,11,1,"Male",30,3,3,3,"Married",7510,16873,1,"No",17,3,2,1,10,1,3,10,9,0,9,"No"
45,"Travel_Rarely",1015,5,3,"Female",50,1,2,1,"Single",5769,23447,1,"Yes",14,3,1,0,10,3,3,10,7,1,4,"No"
32,"Travel_Rarely",588,8,3,"Female",65,2,2,2,"Married",5228,24624,1,"Yes",11,3,4,0,13,2,3,13,12,11,9,"No"
29,"Travel_Rarely",1246,19,3,"Male",77,2,2,3,"Divorced",8620,23757,1,"No",14,3,3,2,10,3,3,10,7,0,4,"No"
34,"Travel_Rarely",404,2,3,"Female",98,3,2,4,"Single",6687,6163,1,"No",11,3,4,0,14,2,4,14,11,4,11,"No"
33,"Travel_Frequently",430,7,4,"Male",54,3,2,1,"Married",4373,17456,0,"No",14,3,1,2,5,2,3,4,3,0,3,"No"
28,"Travel_Rarely",1300,17,3,"Male",79,3,2,1,"Divorced",4558,13535,1,"No",12,3,4,1,10,2,3,10,0,1,8,"No"
34,"Travel_Frequently",829,15,2,"Male",71,3,4,1,"Divorced",17007,11929,7,"No",14,3,4,2,16,3,2,14,8,6,9,"No"
34,"Non-Travel",999,26,1,"Female",92,2,1,3,"Divorced",2029,15891,1,"No",20,4,3,3,5,2,3,5,4,0,0,"No"
59,"Travel_Rarely",1435,25,1,"Female",99,3,3,1,"Single",7637,2354,7,"No",11,3,4,0,28,3,2,21,16,7,9,"No"
40,"Travel_Frequently",530,1,3,"Male",78,2,4,2,"Married",13503,14115,1,"No",22,4,4,1,22,3,2,22,3,11,11,"No"
28,"Travel_Rarely",1300,17,3,"Male",79,3,2,1,"Divorced",4558,13535,1,"No",12,3,4,1,10,2,3,10,0,1,8,"No"
42,"Travel_Frequently",1474,5,2,"Male",97,3,1,3,"Married",2093,9260,4,"No",17,3,4,1,8,4,3,2,2,2,0,"No"
25,"Travel_Rarely",309,2,3,"Female",82,3,1,2,"Married",2187,19655,4,"No",14,3,3,0,6,3,3,2,0,1,2,"No"
34,"Travel_Rarely",304,2,4,"Male",60,3,2,4,"Single",6274,18686,1,"No",22,4,3,0,6,5,3,6,5,1,4,"No"
38,"Travel_Rarely",168,1,3,"Female",81,3,3,3,"Single",7861,15397,4,"Yes",14,3,4,0,10,4,4,1,0,0,0,"No"
40,"Travel_Rarely",611,7,2,"Male",88,3,5,2,"Single",19833,4349,1,"No",14,3,2,0,21,3,2,21,8,12,8,"No"
27,"Travel_Rarely",1054,8,3,"Female",67,3,1,4,"Single",3445,6152,1,"No",11,3,3,0,6,5,2,6,2,1,4,"No"
41,"Travel_Rarely",1276,2,2,"Female",91,3,4,1,"Married",16595,5626,7,"No",16,3,2,1,22,2,3,18,16,11,8,"No"
43,"Non-Travel",1344,7,4,"Male",37,4,1,4,"Divorced",2089,5228,4,"No",14,3,4,3,7,3,4,5,4,2,2,"No"
23,"Travel_Rarely",373,1,4,"Male",47,3,1,3,"Married",1223,16901,1,"No",22,4,4,1,1,2,3,1,0,0,1,"No"
24,"Travel_Frequently",567,2,1,"Female",32,3,1,4,"Single",3760,17218,1,"Yes",13,3,3,0,6,2,3,6,3,1,3,"No"
44,"Travel_Rarely",1112,1,1,"Female",50,2,2,3,"Single",5985,26894,4,"No",11,3,2,0,10,1,4,2,2,0,2,"No"
28,"Travel_Rarely",1172,3,2,"Female",78,3,1,2,"Married",2856,3692,1,"No",19,3,4,1,1,3,3,1,0,0,0,"No"
28,"Travel_Rarely",1117,8,4,"Female",66,3,1,4,"Single",3310,4488,1,"No",21,4,4,0,5,3,3,5,3,0,2,"No"
36,"Travel_Rarely",711,5,2,"Female",42,3,3,1,"Married",8008,22792,4,"No",12,3,3,2,9,6,3,3,2,0,2,"No"
38,"Travel_Rarely",1245,14,3,"Male",80,3,2,2,"Married",9924,12355,0,"No",11,3,4,1,10,3,3,9,8,7,7,"No"
45,"Travel_Rarely",556,25,2,"Female",93,2,2,4,"Married",5906,23888,0,"No",13,3,4,2,10,2,2,9,8,3,8,"No"
38,"Travel_Rarely",1495,10,3,"Female",76,3,2,3,"Married",9824,22174,3,"No",19,3,3,1,18,4,3,1,0,0,0,"No"
49,"Travel_Rarely",470,20,3,"Female",96,3,2,1,"Married",6567,5549,1,"No",14,3,3,0,16,2,2,15,11,5,11,"No"
45,"Travel_Rarely",556,25,2,"Female",93,2,2,4,"Married",5906,23888,0,"No",13,3,4,2,10,2,2,9,8,3,8,"No"
40,"Travel_Frequently",692,11,4,"Female",73,3,2,3,"Married",6323,26849,1,"No",11,3,1,1,10,2,4,10,9,9,4,"No"
25,"Travel_Rarely",1372,18,1,"Male",93,4,2,3,"Married",6232,12477,2,"No",11,3,2,0,6,3,2,3,2,1,2,"No"
48,"Travel_Rarely",492,16,3,"Female",96,3,2,3,"Divorced",6439,13693,8,"No",14,3,3,1,18,2,3,8,7,7,7,"No"
24,"Non-Travel",1269,4,1,"Male",46,2,1,4,"Married",3162,10778,0,"No",17,3,4,0,6,2,2,5,2,3,4,"No"
30,"Travel_Rarely",1339,5,2,"Female",41,3,3,4,"Married",9419,8053,2,"No",12,3,3,1,12,2,3,10,9,7,4,"No"
52,"Travel_Rarely",258,8,3,"Female",54,3,1,1,"Married",2950,17363,9,"No",13,3,3,0,12,2,1,5,4,0,4,"No"
34,"Travel_Rarely",1440,7,2,"Male",55,3,1,3,"Married",2308,4944,0,"Yes",25,4,2,1,12,4,3,11,10,5,7,"No"
33,"Non-Travel",722,17,4,"Male",38,3,4,3,"Single",17444,20489,1,"No",11,3,4,0,10,2,3,10,8,6,0,"No"
39,"Travel_Frequently",505,2,3,"Female",64,3,3,3,"Single",10938,6420,0,"No",25,4,4,0,20,1,3,19,6,11,8,"No"
52,"Travel_Rarely",258,8,3,"Female",54,3,1,1,"Married",2950,17363,9,"No",13,3,3,0,12,2,1,5,4,0,4,"No"
22,"Travel_Rarely",253,11,1,"Female",43,3,1,2,"Married",2244,24440,1,"No",13,3,4,1,2,1,3,2,1,1,2,"No"
33,"Travel_Rarely",1216,8,3,"Male",39,3,2,3,"Divorced",7104,20431,0,"No",12,3,4,0,6,3,3,5,0,1,2,"No"
38,"Travel_Rarely",849,25,1,"Female",81,2,3,2,"Married",12061,26707,3,"No",17,3,3,1,19,2,3,10,8,0,1,"No"
53,"Travel_Rarely",1282,5,3,"Female",58,3,5,3,"Divorced",19094,10735,4,"No",11,3,4,1,26,3,2,14,13,4,8,"No"
34,"Travel_Rarely",970,8,2,"Female",96,3,2,3,"Single",6142,7360,3,"No",11,3,4,0,10,2,3,5,1,4,3,"No"
34,"Travel_Rarely",1400,9,2,"Female",70,3,2,3,"Married",5714,5829,1,"No",20,4,1,0,6,3,2,6,5,1,3,"No"
29,"Travel_Rarely",332,17,2,"Male",51,2,3,1,"Single",7988,9769,1,"No",13,3,1,0,10,3,2,10,9,0,9,"No"
29,"Travel_Rarely",598,9,3,"Male",91,4,1,3,"Married",2451,22376,6,"No",18,3,1,2,5,2,2,1,0,0,0,"No"
39,"Travel_Rarely",119,15,2,"Male",77,3,4,1,"Single",13341,25098,0,"No",12,3,1,0,21,3,3,20,8,11,10,"No"
32,"Non-Travel",976,26,3,"Male",100,3,2,4,"Married",4465,12069,0,"No",18,3,1,0,4,2,3,3,2,2,2,"No"
24,"Travel_Rarely",691,23,2,"Male",89,4,1,4,"Married",2725,21630,1,"Yes",11,3,2,2,6,3,3,6,5,1,4,"No"
43,"Non-Travel",1344,7,4,"Male",37,4,1,4,"Divorced",2089,5228,4,"No",14,3,4,3,7,3,4,5,4,2,2,"No"
36,"Travel_Rarely",325,10,4,"Female",63,3,3,3,"Married",7094,5747,3,"No",12,3,1,0,10,0,3,7,7,1,7,"No"
27,"Travel_Rarely",798,6,1,"Female",66,2,1,3,"Divorced",2187,5013,0,"No",12,3,3,2,6,5,2,5,3,0,3,"No"
35,"Travel_Frequently",482,4,3,"Male",87,3,2,3,"Single",4249,2690,1,"Yes",11,3,2,0,9,3,3,9,6,1,1,"No"
36,"Non-Travel",635,10,2,"Male",32,3,3,4,"Single",9980,15318,1,"No",14,3,4,0,10,3,2,10,3,9,7,"No"
37,"Non-Travel",1040,2,3,"Male",100,2,2,4,"Divorced",5163,15850,5,"No",14,3,4,1,17,2,4,1,0,0,0,"No"
34,"Travel_Rarely",285,29,2,"Male",86,3,2,3,"Married",5429,17491,4,"No",13,3,1,2,10,1,3,8,7,7,7,"No"
29,"Travel_Frequently",995,2,1,"Male",87,3,2,4,"Divorced",8853,24483,1,"No",19,3,4,1,6,0,4,6,4,1,3,"No"
35,"Travel_Frequently",1182,11,4,"Male",54,3,2,4,"Divorced",4968,18500,1,"No",11,3,4,1,5,3,3,5,2,0,2,"No"
42,"Travel_Rarely",469,2,4,"Male",35,3,4,1,"Married",17665,14399,0,"No",17,3,4,1,23,3,3,22,6,13,7,"No"
34,"Travel_Rarely",181,2,4,"Male",97,4,1,4,"Married",2932,5586,0,"Yes",14,3,1,3,6,3,3,5,0,1,2,"No"
40,"Travel_Rarely",329,1,2,"Male",88,3,1,2,"Married",2387,6762,3,"No",22,4,3,1,7,3,3,4,2,0,3,"No"
42,"Non-Travel",335,23,4,"Male",37,2,2,3,"Single",4332,14811,1,"No",12,3,4,0,20,2,3,20,9,3,7,"No"
26,"Travel_Rarely",583,4,3,"Male",53,3,1,4,"Single",2875,9973,1,"Yes",20,4,2,0,8,2,2,8,5,2,2,"No"
46,"Travel_Rarely",566,7,4,"Male",75,3,3,3,"Divorced",10845,24208,6,"No",13,3,2,1,13,3,3,8,7,0,7,"No"
44,"Travel_Rarely",1037,1,2,"Male",42,3,1,4,"Single",2436,13422,6,"Yes",12,3,3,0,6,2,3,4,3,1,2,"No"
47,"Travel_Rarely",955,4,4,"Female",83,3,2,4,"Single",4163,8571,1,"Yes",17,3,3,0,9,0,3,9,0,0,7,"No"
48,"Travel_Rarely",855,4,4,"Male",54,3,3,4,"Single",7898,18706,1,"No",11,3,3,0,11,2,3,10,9,0,8,"No"
42,"Travel_Frequently",458,26,1,"Female",60,3,3,1,"Married",13191,23281,3,"Yes",17,3,3,0,20,6,3,1,0,0,0,"No"
38,"Travel_Frequently",1444,1,4,"Male",88,3,1,2,"Married",2991,5224,0,"Yes",11,3,2,1,7,2,3,6,2,1,2,"No"
60,"Travel_Rarely",1179,16,1,"Male",84,3,2,1,"Single",5405,11924,8,"No",14,3,4,0,10,1,3,2,2,2,2,"No"
30,"Travel_Rarely",1092,10,1,"Female",64,3,3,3,"Single",9667,2739,9,"No",14,3,2,0,9,3,3,7,7,0,2,"No"
43,"Travel_Rarely",177,8,1,"Female",55,3,2,2,"Divorced",4765,23814,4,"No",21,4,3,1,4,2,4,1,0,0,0,"No"
35,"Travel_Rarely",583,25,3,"Female",57,3,3,3,"Divorced",10388,6975,1,"Yes",11,3,3,1,16,3,2,16,10,10,1,"No"
33,"Travel_Rarely",1198,1,3,"Male",100,2,1,1,"Single",2799,3339,3,"Yes",11,3,2,0,6,1,3,3,2,0,2,"No"
26,"Travel_Rarely",583,4,3,"Male",53,3,1,4,"Single",2875,9973,1,"Yes",20,4,2,0,8,2,2,8,5,2,2,"No"
54,"Travel_Rarely",685,3,4,"Male",85,3,4,4,"Married",17779,23474,3,"No",14,3,1,0,36,2,3,10,9,0,9,"No"
39,"Travel_Frequently",711,4,1,"Female",81,3,2,3,"Single",5042,3140,0,"No",13,3,4,0,10,2,1,9,2,3,8,"No"
34,"Travel_Frequently",1003,2,4,"Male",95,3,2,3,"Single",4033,15834,2,"No",11,3,4,0,5,3,2,3,2,0,2,"No"
50,"Travel_Frequently",1234,20,2,"Male",41,3,4,3,"Married",11245,20689,2,"Yes",15,3,3,1,32,3,3,30,8,12,13,"No"
50,"Travel_Rarely",691,2,3,"Male",64,3,4,3,"Married",17639,6881,5,"No",16,3,4,0,30,3,3,4,3,0,3,"No"
50,"Non-Travel",145,1,4,"Female",95,3,2,3,"Married",6347,24920,0,"No",12,3,1,1,19,3,3,18,7,0,13,"No"
46,"Travel_Rarely",430,1,4,"Male",40,3,5,4,"Divorced",19627,21445,9,"No",17,3,4,2,23,0,3,2,2,2,2,"No"
29,"Travel_Rarely",468,28,4,"Female",73,2,1,1,"Single",3785,8489,1,"No",14,3,2,0,5,3,1,5,4,0,4,"No"
32,"Travel_Rarely",638,8,3,"Female",91,4,2,3,"Married",5175,22162,5,"No",12,3,3,1,9,3,2,5,3,1,3,"No"
36,"Travel_Frequently",884,23,3,"Male",41,4,2,4,"Married",2571,12290,4,"No",17,3,3,1,17,3,3,5,2,0,3,"No"
45,"Travel_Rarely",1329,2,4,"Female",59,2,2,4,"Divorced",5770,5388,1,"No",19,3,1,2,10,3,3,10,7,3,9,"No"
45,"Travel_Rarely",788,24,2,"Male",36,3,1,2,"Single",2177,8318,1,"No",16,3,1,0,6,3,3,6,3,0,4,"No"
39,"Travel_Rarely",466,1,4,"Female",65,2,4,4,"Married",12742,7060,1,"No",16,3,3,1,21,3,3,21,6,11,8,"No"
36,"Travel_Frequently",1213,2,2,"Male",94,2,2,4,"Single",3886,4223,1,"No",21,4,4,0,10,2,2,10,1,0,8,"No"
37,"Travel_Rarely",1107,14,4,"Female",95,3,1,1,"Divorced",3034,26914,1,"No",12,3,3,1,18,2,2,18,7,12,17,"No"
25,"Travel_Rarely",685,1,1,"Female",62,3,2,3,"Married",4898,7505,0,"No",12,3,4,2,5,3,3,4,2,1,2,"No"
40,"Travel_Frequently",791,2,3,"Female",38,4,2,2,"Married",4244,9931,1,"No",24,4,4,1,8,2,3,8,7,3,7,"No"
37,"Travel_Rarely",309,10,4,"Female",88,2,2,4,"Divorced",6694,24223,2,"Yes",14,3,3,3,8,5,3,1,0,0,0,"No"
30,"Non-Travel",641,25,4,"Female",85,3,2,3,"Married",4736,6069,7,"Yes",12,3,2,1,4,2,4,2,2,2,2,"No"
43,"Travel_Frequently",775,15,4,"Male",47,2,2,4,"Married",6804,23683,3,"No",18,3,3,1,7,5,3,2,2,2,2,"No"
44,"Non-Travel",111,17,4,"Male",74,1,1,3,"Single",2290,4279,2,"No",13,3,4,0,6,3,3,0,0,0,0,"No"
36,"Non-Travel",1105,24,2,"Female",47,3,2,2,"Married",5674,6927,7,"No",15,3,3,1,11,3,3,9,8,0,8,"No"
36,"Non-Travel",894,1,4,"Female",33,2,2,3,"Married",4374,15411,0,"No",15,3,3,0,4,6,3,3,2,1,2,"No"
28,"Non-Travel",1476,1,3,"Female",55,1,2,4,"Married",6674,16392,0,"No",11,3,1,3,10,6,3,9,8,7,5,"No"
45,"Travel_Rarely",950,28,4,"Male",97,3,1,4,"Married",2132,4585,4,"No",20,4,4,1,8,3,3,5,4,0,3,"No"
49,"Travel_Rarely",1418,1,3,"Female",36,3,1,1,"Married",3580,10554,2,"No",16,3,2,1,7,2,3,4,2,0,2,"No"
46,"Travel_Rarely",1402,2,3,"Female",69,3,4,1,"Married",17048,24097,8,"No",23,4,1,0,28,2,3,26,15,15,9,"No"
35,"Travel_Rarely",755,9,3,"Male",97,2,2,2,"Single",6540,19394,9,"No",19,3,3,0,10,5,3,1,1,0,0,"No"
49,"Travel_Rarely",527,8,1,"Female",51,3,3,2,"Married",7403,22477,4,"No",11,3,3,1,29,3,2,26,9,1,7,"No"
34,"Travel_Rarely",470,2,4,"Male",84,2,2,1,"Married",5957,23687,6,"No",13,3,2,1,13,3,3,11,9,5,9,"No"
34,"Travel_Rarely",1320,20,3,"Female",89,4,1,3,"Married",2585,21643,0,"No",17,3,4,0,2,5,2,1,0,0,0,"No"
25,"Travel_Rarely",977,2,4,"Male",57,3,1,3,"Divorced",3977,7298,6,"Yes",19,3,3,1,7,2,2,2,2,0,2,"No"
53,"Travel_Rarely",1376,2,3,"Male",45,3,4,3,"Divorced",14852,13938,6,"No",13,3,3,1,22,3,4,17,13,15,2,"No"
34,"Travel_Rarely",479,7,1,"Male",35,3,1,4,"Single",2972,22061,1,"No",13,3,3,0,1,4,1,1,0,0,0,"No"
44,"Travel_Rarely",1459,10,4,"Male",41,3,2,4,"Married",6465,19121,2,"Yes",13,3,4,0,9,5,4,4,2,1,3,"No"
39,"Travel_Frequently",505,2,3,"Female",64,3,3,3,"Single",10938,6420,0,"No",25,4,4,0,20,1,3,19,6,11,8,"No"
30,"Travel_Rarely",634,17,2,"Female",95,3,3,1,"Married",11916,25927,1,"Yes",23,4,4,2,9,2,3,9,1,0,8,"No"
40,"Travel_Rarely",1300,24,1,"Male",62,3,2,4,"Divorced",3319,24447,1,"No",17,3,1,2,9,3,3,9,8,4,7,"No"
38,"Travel_Rarely",243,7,4,"Female",46,2,2,4,"Single",4028,7791,0,"No",20,4,1,0,8,2,3,7,7,0,5,"No"
37,"Travel_Rarely",228,6,3,"Male",98,3,2,4,"Married",6502,22825,4,"No",14,3,2,1,7,5,4,5,4,0,1,"No"
29,"Travel_Rarely",726,29,4,"Male",93,1,2,3,"Divorced",6384,21143,8,"No",17,3,4,2,11,3,3,7,0,1,6,"No"
23,"Travel_Rarely",1309,26,3,"Male",83,3,1,4,"Divorced",2904,16092,1,"No",12,3,3,2,4,2,2,4,2,0,2,"No"
32,"Travel_Rarely",529,2,4,"Male",78,3,1,1,"Single",2439,11288,1,"No",14,3,4,0,4,4,3,4,2,1,2,"No"
30,"Travel_Rarely",125,9,4,"Male",83,2,1,3,"Single",2206,16117,1,"No",13,3,1,0,10,5,3,10,0,1,8,"No"
40,"Travel_Rarely",630,4,3,"Male",67,2,3,4,"Married",10855,8552,7,"No",11,3,1,1,15,2,2,12,11,2,11,"No"
37,"Travel_Rarely",1319,6,3,"Male",51,4,2,1,"Divorced",5974,17001,4,"Yes",13,3,1,2,13,2,3,7,7,6,7,"No"
29,"Travel_Frequently",410,2,4,"Female",97,3,1,2,"Married",3180,4668,0,"No",13,3,3,3,4,3,3,3,2,0,2,"No"
35,"Non-Travel",1097,11,3,"Male",79,2,3,1,"Married",9884,8302,2,"Yes",13,3,3,1,10,3,3,4,0,2,3,"No"
21,"Travel_Rarely",984,1,4,"Female",70,2,1,2,"Single",2070,25326,1,"Yes",11,3,3,0,2,6,4,2,2,2,2,"No"
55,"Travel_Rarely",1136,1,2,"Male",81,4,4,4,"Divorced",14732,12414,2,"No",13,3,4,2,31,4,4,7,7,0,0,"No"
30,"Travel_Rarely",413,7,4,"Male",57,3,1,2,"Single",2983,18398,0,"No",14,3,1,0,4,3,3,3,2,1,2,"No"
23,"Travel_Rarely",310,10,1,"Male",79,4,1,3,"Single",3505,19630,1,"No",18,3,4,0,2,3,3,2,2,0,2,"No"
42,"Travel_Rarely",1210,2,3,"Male",68,2,1,2,"Married",4841,24052,4,"No",14,3,2,1,4,3,3,1,0,0,0,"No"
38,"Travel_Frequently",508,6,1,"Male",72,2,2,3,"Married",5321,14284,2,"No",11,3,4,1,10,1,3,8,3,7,7,"No"
50,"Travel_Rarely",264,9,3,"Male",59,3,5,3,"Married",19331,19519,4,"Yes",16,3,3,1,27,2,3,1,0,0,0,"No"
30,"Travel_Rarely",1329,29,3,"Male",61,3,2,1,"Divorced",4115,13192,8,"No",19,3,3,3,8,3,3,4,3,0,3,"No"
35,"Travel_Rarely",1137,21,4,"Female",51,3,2,4,"Married",4014,19170,1,"Yes",25,4,4,1,10,2,1,10,6,0,7,"No"
48,"Travel_Rarely",817,2,2,"Male",56,4,2,2,"Married",8120,18597,3,"No",12,3,4,0,12,3,3,2,2,2,2,"No"
32,"Travel_Frequently",430,24,1,"Male",80,3,2,4,"Married",5309,21146,1,"No",15,3,4,2,10,2,3,10,8,4,7,"No"
18,"Travel_Rarely",812,10,4,"Female",69,2,1,3,"Single",1200,9724,1,"No",12,3,1,0,0,2,3,0,0,0,0,"No"
49,"Non-Travel",1002,18,4,"Male",92,3,2,4,"Divorced",6804,23793,1,"Yes",15,3,1,2,7,0,3,7,7,1,7,"No"
23,"Travel_Rarely",310,10,1,"Male",79,4,1,3,"Single",3505,19630,1,"No",18,3,4,0,2,3,3,2,2,0,2,"No"
